ts,gpu_w,gpu_busy_pct,gpu_vram_mib,gpu_temp_c,cpu_pkg_w,cpu_util_pct,mem_used_mib
1789628492.503,44.67,0.0,3496.0,54.0,4.64,1.4,3925
1789628493.541,44.51,0.0,3496.0,54.0,3.97,0.7,3923
1789628494.579,24.18,0.0,3496.0,52.0,3.11,0.3,3922
1789628495.626,18.56,0.0,3496.0,52.0,3.16,0.5,3931
1789628496.673,12.76,0.0,3496.0,51.0,3.1,0.3,3926
1789628497.721,12.61,0.0,3496.0,51.0,3.39,0.5,3939
1789628498.767,12.58,0.0,3496.0,51.0,3.13,0.4,3931
1789628499.813,12.53,0.0,3496.0,51.0,3.2,0.5,3919
1789628500.860,12.56,0.0,3496.0,50.0,3.15,0.6,3915
1789628501.900,12.7,0.0,3496.0,50.0,3.11,0.3,3931
1789628502.942,12.77,0.0,3496.0,50.0,3.15,0.5,3935
1789628503.983,12.56,0.0,3496.0,50.0,3.23,0.3,3929
1789628505.026,12.33,0.0,3496.0,50.0,3.16,0.4,3903
1789628506.072,12.3,0.0,3496.0,49.0,3.08,0.5,3909
1789628507.119,12.27,0.0,3496.0,49.0,3.26,0.4,3913
1789628508.166,12.23,0.0,3496.0,49.0,3.22,0.3,3910
1789628509.212,12.15,0.0,3496.0,49.0,3.16,0.6,3926
1789628510.258,12.04,0.0,3496.0,49.0,2.99,0.4,3927
1789628511.305,12.04,0.0,3496.0,48.0,3.28,0.5,3927
1789628512.351,11.99,0.0,3496.0,48.0,3.12,0.3,3913
1789628513.399,11.95,0.0,3496.0,48.0,3.2,0.6,3910
1789628514.445,11.93,0.0,3496.0,48.0,2.89,0.4,3902
1789628515.492,11.67,0.0,3496.0,48.0,3.36,0.5,3902
1789628516.540,11.57,0.0,3496.0,47.0,3.1,0.4,3906
1789628517.582,11.69,0.0,3496.0,47.0,3.25,0.5,3904
1789628518.629,11.75,0.0,3496.0,47.0,3.12,0.4,3903
1789628519.675,11.67,0.0,3496.0,47.0,3.15,0.4,3904
1789628520.723,11.53,0.0,3496.0,47.0,2.92,0.4,3903
