ts,gpu_w,gpu_busy_pct,gpu_vram_mib,gpu_temp_c,cpu_pkg_w,cpu_util_pct,mem_used_mib
1789628420.630,19.0,3.0,22954.20703125,50.0,22.72,0.6,5865
1789628421.632,13.0,0.0,22954.20703125,46.0,18.92,0.0,5850
1789628422.634,12.0,0.0,22954.20703125,46.0,22.75,0.1,5840
1789628423.635,12.0,0.0,22954.20703125,45.0,20.54,0.0,5822
1789628424.636,12.0,0.0,22954.20703125,45.0,21.21,0.1,5815
1789628425.637,12.0,0.0,22954.20703125,45.0,16.32,0.0,5810
1789628426.639,12.0,0.0,22954.20703125,45.0,21.46,0.0,5800
1789628427.640,12.0,0.0,22954.20703125,44.0,22.83,0.1,5792
1789628428.641,12.0,0.0,22954.20703125,44.0,19.29,0.0,5783
1789628429.643,12.0,0.0,22954.20703125,44.0,21.12,0.0,5780
1789628430.645,12.0,0.0,22954.20703125,44.0,20.82,0.1,5774
1789628431.647,12.0,0.0,22954.20703125,43.0,21.12,0.0,5769
1789628432.649,11.0,0.0,22954.20703125,43.0,20.7,0.0,5764
1789628433.650,11.0,0.0,22954.20703125,43.0,20.26,0.0,5759
1789628434.652,11.0,0.0,22954.20703125,43.0,21.09,0.1,5756
1789628435.653,11.0,0.0,22954.20703125,42.0,16.45,0.1,5754
1789628436.655,11.0,0.0,22954.20703125,42.0,22.93,0.0,5750
1789628437.657,11.0,0.0,22954.20703125,42.0,23.1,0.0,5748
1789628438.658,11.0,0.0,22954.20703125,42.0,15.06,0.0,5747
1789628439.660,11.0,0.0,22954.20703125,42.0,25.57,0.2,5746
1789628440.662,11.0,0.0,22954.20703125,41.0,21.01,0.1,5745
1789628441.663,11.0,0.0,22954.20703125,41.0,20.75,0.0,5745
1789628442.665,11.0,0.0,22954.20703125,41.0,16.92,0.0,5743
1789628443.667,11.0,0.0,22954.20703125,41.0,21.04,0.0,5742
1789628444.669,11.0,0.0,22954.20703125,41.0,21.09,0.0,5741
1789628445.670,11.0,0.0,22954.20703125,41.0,20.78,0.0,5741
1789628446.671,11.0,0.0,22954.20703125,40.0,20.9,0.0,5740
1789628447.673,10.0,0.0,22954.20703125,40.0,21.05,0.1,5740
1789628448.675,10.0,0.0,22954.20703125,40.0,21.23,0.1,5740
1789628449.677,10.0,0.0,22954.20703125,40.0,20.74,0.0,5740
1789628450.679,10.0,0.0,22954.20703125,40.0,17.86,0.0,5740
1789628451.680,10.0,0.0,22954.20703125,40.0,23.26,0.1,5740
1789628452.682,10.0,0.0,22954.20703125,39.0,19.64,0.0,5740
1789628453.683,10.0,0.0,22954.20703125,39.0,18.8,0.0,5740
1789628454.684,10.0,0.0,22954.20703125,39.0,20.24,0.0,5740
1789628455.686,10.0,0.0,22954.20703125,39.0,20.59,0.0,5740
1789628456.688,10.0,0.0,22954.20703125,39.0,23.44,0.0,5740
1789628457.689,10.0,0.0,22954.20703125,39.0,17.72,0.0,5740
1789628458.692,10.0,0.0,22954.20703125,39.0,20.93,0.1,5740
1789628459.693,10.0,0.0,22954.20703125,39.0,21.08,0.0,5740
1789628460.695,10.0,0.0,22954.20703125,38.0,21.31,0.0,5740
1789628461.697,10.0,0.0,22954.20703125,38.0,21.08,0.1,5740
1789628462.698,10.0,0.0,22954.20703125,38.0,8.39,0.0,5740
1789628463.700,126.0,67.0,22966.18359375,46.0,40.49,1.7,5903
